source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[diagnosis]	characteristics[sample type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[patient ID]	characteristics[biological replicate]	assay name	comment[technical replicate]	comment[fraction identiier]	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[data file]	comment[uri]	comment[database]	factor value[organism part]
PXD047742-Sample-45	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	normal	not available	not available	not available	adult	not available	45	CD8 T cell-45	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_15.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD8_15.raw	MASSIVE	CD8 T cell
PXD047742-Sample-46	Homo sapiens	blood	NK cell	NK cell	normal	normal	normal	not available	not available	not available	adult	not available	46	NK cell-46	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	NK_1.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/NK_1.raw	MASSIVE	NK cell
PXD047742-Sample-47	Homo sapiens	blood	NK cell	NK cell	normal	normal	normal	not available	not available	not available	adult	not available	47	NK cell-47	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	NK_2.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/NK_2.raw	MASSIVE	NK cell
PXD047742-Sample-48	Homo sapiens	blood	NK cell	NK cell	normal	normal	normal	not available	not available	not available	adult	not available	48	NK cell-48	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	NK_3.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/NK_3.raw	MASSIVE	NK cell
PXD047742-Sample-49	Homo sapiens	blood	NK cell	NK cell	normal	normal	normal	not available	not available	not available	adult	not available	49	NK cell-49	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	NK_4.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/NK_4.raw	MASSIVE	NK cell
PXD047742-Sample-50	Homo sapiens	blood	NK cell	NK cell	normal	normal	normal	not available	not available	not available	adult	not available	50	NK cell-50	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	NK_5.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/NK_5.raw	MASSIVE	NK cell
PXD047742-Sample-51	Homo sapiens	blood	NK cell	NK cell	normal	normal	normal	not available	not available	not available	adult	not available	51	NK cell-51	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	NK_6.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/NK_6.raw	MASSIVE	NK cell
PXD047742-Sample-52	Homo sapiens	blood	NK cell	NK cell	normal	normal	normal	not available	not available	not available	adult	not available	52	NK cell-52	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	NK_7.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/NK_7.raw	MASSIVE	NK cell
PXD047742-Sample-53	Homo sapiens	blood	NK cell	NK cell	normal	normal	normal	not available	not available	not available	adult	not available	53	NK cell-53	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	NK_8.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/NK_8.raw	MASSIVE	NK cell
PXD047742-Sample-54	Homo sapiens	blood	NK cell	NK cell	normal	normal	normal	not available	not available	not available	adult	not available	54	NK cell-54	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	NK_9.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/NK_9.raw	MASSIVE	NK cell
